text,clean_text,sentiment,emotion
"Similar movement control as in Malaysia. Stay strong Singapore. Malaysia THIRD MCO going to end ON 28 APRIL 2020.  I don't think it will open up all the place after that day.  I guess Malaysia high possible to release those places who with low cases or no case.  But those high case area like Kuala Lumpur and selangor area close to Kuala Lumpur , government will still have MCO order. Hope everyone can overcome the challenge. Stay strong  all Malaysian and Singaporean.","Similar movement control as in Malaysia. Stay strong Singapore. Malaysia THIRD MCO going to end ON 28 APRIL 2020.  I don't think it will open up all the place after that day.  I guess Malaysia high possible to release those places who with low cases or no case.  But those high case area like Kuala Lumpur and selangor area close to Kuala Lumpur , government will still have MCO order. Hope everyone can overcome the challenge. Stay strong  all Malaysian and Singaporean.",positive,worry
Iam already dying being at home,Iam already dying being at home,negative,worry
"Quarantine = Netflix and get fat on snacks.\nMajulah Singapura, my stomach also very majulah.","Quarantine = Netflix and get fat on snacks. Majulah Singapura, my stomach also very majulah.",negative,worry
I hope you take care of who is  special pass holder also😍😍,I hope you take care of who is  special pass holder also,positive,worry
Stay safe singapore,Stay safe singapore,positive,neutral
Smart man,Smart man,positive,neutral
Stay home stay safe!!,Stay home stay safe!!,positive,happiness
"My sister and family can't visit parents for another 4 weeks, very sad indeed!","My sister and family can't visit parents for another 4 weeks, very sad indeed!",negative,sadness
"SGUnited@cannot wear pink shirt n tie for a serious speech like this.  Jia u everybody. Hopefully by 1st Jun we can all rush to our fav makan store n shopping n fav SG past time queue here, there n everywhere n no need to stand metres apart. P/s: hope this Circuit Breaker kanna Short Circuit zzzzzzzz......","SGUnited@cannot wear pink shirt n tie for a serious speech like this.  Jia u everybody. Hopefully by 1st Jun we can all rush to our fav makan store n shopping n fav SG past time queue here, there n everywhere n no need to stand metres apart. P/s: hope this Circuit Breaker kanna Short Circuit zzzzzzzz......",positive,worry
Godbless you pm,Godbless you pm,neutral,neutral
Have patience Bros and Sis.,Have patience Bros and Sis.,neutral,neutral
Mr PM Lee serve to all ethnicities in singapore 👍👍,Mr PM Lee serve to all ethnicities in singapore ,neutral,neutral
"Swift and decisive, leaving no stones unturned, everybody is well taken care of, no discrimination, no chaos, no blame game, no excuses. We are blessed with a strong leadership in Singapore, we will get through this!","Swift and decisive, leaving no stones unturned, everybody is well taken care of, no discrimination, no chaos, no blame game, no excuses. We are blessed with a strong leadership in Singapore, we will get through this!",positive,relief
Is there any platform for citizens to raise questions to the announcement made by the government?,Is there any platform for citizens to raise questions to the announcement made by the government?,neutral,neutral
How can a second wave be prevented..?\n\nThe airport will have  to open  at some point.\nHow can air travel arrivals be screened?\n\nSingapore will have a plan ..I just wonder what it is ?\n\nI hope Singapore achieves its goal.,How can a second wave be prevented..?  The airport will have  to open  at some point. How can air travel arrivals be screened?  Singapore will have a plan ..I just wonder what it is ?  I hope Singapore achieves its goal.,positive,worry
"I like the focused, objective and disciplined approach of these officials who explain matters well and calmly.  Spectacular leadership.","I like the focused, objective and disciplined approach of these officials who explain matters well and calmly.  Spectacular leadership.",positive,happiness
Whole World is zooming into Singapore !!!,Whole World is zooming into Singapore !!!,neutral,happiness
God bless Singapore .......,God bless Singapore .......,positive,happiness
君见疫情堪担忧\n禁止人民出门口\n月复一月可时了\n民怒之时君更忧,   ,neutral,neutral
"My wife aged 62, she needs me to carry things which we bought at NTUC. Thus I have to accompany her, is it still against the ruling?","My wife aged 62, she needs me to carry things which we bought at NTUC. Thus I have to accompany her, is it still against the ruling?",neutral,worry
Love Singapore,Love Singapore,positive,love
"LOL that finance journalist, she got slapped left, right center.","LOL that finance journalist, she got slapped left, right center.",negative,sadness
Current situation is the result  incompetent  mediocre in charge.,Current situation is the result  incompetent  mediocre in charge.,negative,worry
Send back all the banglas to Bangladesh,Send back all the banglas to Bangladesh,neutral,neutral
"Where can I buy that water he's drinking, I need that.","Where can I buy that water he's drinking, I need that.",neutral,worry
But who asked about costs?,But who asked about costs?,neutral,neutral
"32:54 “ As of the 21st of April 2020, the Ministry of cough 😂😂","32:54  As of the 21st of April 2020, the Ministry of cough ",neutral,neutral
Like I care for my siblings 👍🏻👍🏻👌🏻,Like I care for my siblings ,positive,love
But who asked about costs?,But who asked about costs?,neutral,neutral
Mr .lee please resume school as possible..i give up on home base leaening and online tution...,Mr .lee please resume school as possible..i give up on home base leaening and online tution...,neutral,worry
风雨同舟，感谢客工的付出。加油， 新加坡。感谢李总理。, ,neutral,neutral
God bless Singapore\nStay Safe & Healthy together,God bless Singapore Stay Safe & Healthy together,positive,happiness
lets do it once do it good..... =D,lets do it once do it good..... =D,positive,neutral
It is what we call a leader. Trump should learn from him.,It is what we call a leader. Trump should learn from him.,neutral,neutral
Beware of Des Chan and Slanted Eye. Cancerous duos and a threat to Singapore,Beware of Des Chan and Slanted Eye. Cancerous duos and a threat to Singapore,negative,worry
Thank you Cheryl... Thank YOU CHERYL.,Thank you Cheryl... Thank YOU CHERYL.,positive,happiness
"If only some people would only listen and follow simple instructions,  the cases would have been lower. \nBut still, I pray the singapore will be in good health!","If only some people would only listen and follow simple instructions,  the cases would have been lower.  But still, I pray the singapore will be in good health!",positive,worry
Just supply the population with hazmat gear and let us go back to normal instead of this pussy lockdown bullshit scheme,Just supply the population with hazmat gear and let us go back to normal instead of this pussy lockdown bullshit scheme,negative,hate
what happen to tamil,what happen to tamil,neutral,neutral
1: 17:22 onwards. after the question. the cameraman is sleeping.,1: 17:22 onwards. after the question. the cameraman is sleeping.,neutral,neutral
"Drink, whenever you need to change language. \n\nBut seriously, take care and stay home.","Drink, whenever you need to change language.   But seriously, take care and stay home.",neutral,worry
What I would like to know if NS is further suspended since this circuit breaker is gonna be until 1st june!!!!,What I would like to know if NS is further suspended since this circuit breaker is gonna be until 1st june!!!!,neutral,worry
I guess Singapore is the next covid epicenter in Southeast Asia,I guess Singapore is the next covid epicenter in Southeast Asia,neutral,neutral
"Praise God for godly, wise & decisively leader!","Praise God for godly, wise & decisively leader!",positive,happiness
Love how he cares about everybody what a great leader you have Singapore,Love how he cares about everybody what a great leader you have Singapore,positive,love
Great speech 👏👌👍,Great speech ,positive,happiness
"If there were a little bit more color to the panel, people would have accepted this more easily. Do you think diversity does not relate in an epidemic? And why are they translating what they said to Chinese only. Where are those who does not speak Chinese or English? Subtitles maybe? Or maybe the govt thinks we are too stupid to understand that they just don't bother.","If there were a little bit more color to the panel, people would have accepted this more easily. Do you think diversity does not relate in an epidemic? And why are they translating what they said to Chinese only. Where are those who does not speak Chinese or English? Subtitles maybe? Or maybe the govt thinks we are too stupid to understand that they just don't bother.",neutral,worry
"Breaking News:  \nOkay, Mr. PM Lee, sound must be better now for those migrant workers. A good leadership has no fear of free democracy.  The truth, the real situations addressed publicly.   \n\nYou've set new hopes now for those migrant workers.  Previous reports were devastating conditions yesterday I saw on CNA: https://youtu.be/N5X668CPWfI \n\nLet's hope everyone will be okay with the focus of the government to clear any hidden linger virus circulating.","Breaking News: Okay, Mr. PM Lee, sound must be better now for those migrant workers. A good leadership has no fear of free democracy. The truth, the real situations addressed publicly.  You've set new hopes now for those migrant workers. Previous reports were devastating conditions yesterday I saw on CNA: https://youtu.be/N5X668CPWfI  Let's hope everyone will be okay with the focus of the government to clear any hidden linger virus circulating.",positive,worry
I hope everything will be better for our world. Greetings from Indonesia,I hope everything will be better for our world. Greetings from Indonesia,positive,happiness
"the SG PM can speak 3 languages fluently with out the need for a script, the rest of the world leaders can barely speak. I'm thoroughly impressed.","the SG PM can speak 3 languages fluently with out the need for a script, the rest of the world leaders can barely speak. I'm thoroughly impressed.",positive,happiness
Great speech....but how did the small cup lasts so many sips??🤔,Great speech....but how did the small cup lasts so many sips??,positive,neutral
So how many confirmed from big M?,So how many confirmed from big M?,neutral,neutral
"mr.Lee, what water that you drink?? each time you drink the water, then you can change the language you were saying......english, malay, 华语.....all no problem！！excellent, hebat, 厉害，tokong","mr.Lee, what water that you drink?? each time you drink the water, then you can change the language you were saying......english, malay, .....all no problemexcellent, hebat, tokong",positive,neutral
Why testing not done in Jan ? Bunch of fools .... VTO2020,Why testing not done in Jan ? Bunch of fools .... VTO2020,negative,hate
Take care Singapore. God bless you.,Take care Singapore. God bless you.,positive,happiness
Thank you Pm god bless you 😘😘😘Love you sir,Thank you Pm god bless you Love you sir,positive,love
We can do this Singapore #SGunited,We can do this Singapore #SGunited,neutral,neutral
"Mr L Wong u use ‘complacency’, instead of downplay/apologise on handling the outbreak, u actually play up/self praise it, ur shameless n very worrying for little red 🔴","Mr L Wong u use complacency, instead of downplay/apologise on handling the outbreak, u actually play up/self praise it, ur shameless n very worrying for little red ",neutral,sadness
"If the task force cant resolved it in the first 3 months.  What makes them think they can resolve it in another 4 weeks???  Especially when initially the new cases r not many, now we r in the thousand.  I seriously doubt they can make it !!!  To save Singapore. Task force need to be replaced immediately.","If the task force cant resolved it in the first 3 months.  What makes them think they can resolve it in another 4 weeks???  Especially when initially the new cases r not many, now we r in the thousand.  I seriously doubt they can make it !!!  To save Singapore. Task force need to be replaced immediately.",neutral,worry
"Thank you Mr Lee for your hard work, and also many of the Frontline workers that helped so hard to tackle and reduce the number of potential cases. Although it is unfortunate that the economy is setback from the circuit breaker, the virus is also a test to see our collective efforts as one Singapore. Let us stay at home and adhere the rules, don't be selfish and play our part together. Let's go Singapore! 💪 🇸🇬","Thank you Mr Lee for your hard work, and also many of the Frontline workers that helped so hard to tackle and reduce the number of potential cases. Although it is unfortunate that the economy is setback from the circuit breaker, the virus is also a test to see our collective efforts as one Singapore. Let us stay at home and adhere the rules, don't be selfish and play our part together. Let's go Singapore!  ",neutral,worry
Please help to Sign and Share this petition to help the migrate workers to use Chinese Medicine which is effective in China and Korea : http://chng.it/VWFCX2GLpz,Please help to Sign and Share this petition to help the migrate workers to use Chinese Medicine which is effective in China and Korea : http://chng.it/VWFCX2GLpz,positive,neutral
It is time for this old fart to step down.,It is time for this old fart to step down.,negative,sadness
Coronavirus live stream stats and chat. https://youtu.be/8P2jfAsVAgY,Coronavirus live stream stats and chat. https://youtu.be/8P2jfAsVAgY,neutral,neutral
Singapore you can one 🙏🙏🙏,Singapore you can one ,neutral,neutral
PM Lee is really great man 👨.....Allah bless you sir,PM Lee is really great man .....Allah bless you sir,positive,happiness
"From my observation,  everytime LHL speak on virus, it get worst......... 1st time, he said ""In Control""  new cases jump from single digit to double digits.\n.... 2nd time he went on TV,  not long later  new cases jump from double digit to 3 digit.......3rd time (which happened 2 weeks ago)  it continue to get worst after he appeared.  We r hitting 4 digit daily new cases. ....This is the 4th time he speak on TV.....Hope nothing bad happen......Sigh.........its worrying !!!","From my observation,  everytime LHL speak on virus, it get worst......... 1st time, he said ""In Control""  new cases jump from single digit to double digits. .... 2nd time he went on TV,  not long later  new cases jump from double digit to 3 digit.......3rd time (which happened 2 weeks ago)  it continue to get worst after he appeared.  We r hitting 4 digit daily new cases. ....This is the 4th time he speak on TV.....Hope nothing bad happen......Sigh.........its worrying !!!",negative,worry
VERY GOOD!!! I FEEL MUCH BETTER AFTER WATCH THIS NEWS CONFERENCE👍👍👍👍👍👍👍👍👍👍👍👍 THANK YOU.,VERY GOOD!!! I FEEL MUCH BETTER AFTER WATCH THIS NEWS CONFERENCE THANK YOU.,positive,happiness
Am proud to have a Leader who speaks 3 languages to earnestly address the people at this personal ground.,Am proud to have a Leader who speaks 3 languages to earnestly address the people at this personal ground.,positive,happiness
josephine teo pls resign,josephine teo pls resign,neutral,neutral
We can do this :),We can do this :),neutral,neutral
"When Mr Lee drinks a cup of water,he switches language.🇸🇬","When Mr Lee drinks a cup of water,he switches language.",neutral,neutral
0.1 percent chance to get it but pls still stay safe,0.1 percent chance to get it but pls still stay safe,positive,worry
PM Lee is truly a great man. The leader we need - a genuine role model.,PM Lee is truly a great man. The leader we need - a genuine role model.,positive,happiness
"I felt curious on the definition of essential services. I want to take my haircut, and I found the fastcut in pasar is closed. However, some barber houses are still open. I thought it will be much better if we open some fastcut service in open area (can be served by employees from barber house as well, like what we have long time ago) instead let more barber houses open and serve with longer time per customer.","I felt curious on the definition of essential services. I want to take my haircut, and I found the fastcut in pasar is closed. However, some barber houses are still open. I thought it will be much better if we open some fastcut service in open area (can be served by employees from barber house as well, like what we have long time ago) instead let more barber houses open and serve with longer time per customer.",positive,worry
Thank u Mr Lee and everyone in your team for working hard to lead us to fight Covid19. Thanku everyone in the front line and medical team who make such sacrifice for us all. Thanku fellow Singaporeans to do your part so that we could get through this together as one nation and one people. Think for not ourselves alone but for all others. Only in this way... That we could survive this through.,Thank u Mr Lee and everyone in your team for working hard to lead us to fight Covid19. Thanku everyone in the front line and medical team who make such sacrifice for us all. Thanku fellow Singaporeans to do your part so that we could get through this together as one nation and one people. Think for not ourselves alone but for all others. Only in this way... That we could survive this through.,positive,relief
Coffins are mend for the dead and not for the old. Stay home!,Coffins are mend for the dead and not for the old. Stay home!,neutral,neutral
dormitories now covid SURGE LIKE HELL ....... still ownself praise ownself .........,dormitories now covid SURGE LIKE HELL ....... still ownself praise ownself .........,negative,hate
We will care for you just like we care for Singaporean .... bravo Singapore!,We will care for you just like we care for Singaporean .... bravo Singapore!,positive,happiness
All my subject teacher only give me 1 month of work. I guess I'm gonna fail my Chinese and math,All my subject teacher only give me 1 month of work. I guess I'm gonna fail my Chinese and math,negative,worry
Stay strong Singapore! We will overcome this virus! #SGUNITED,Stay strong Singapore! We will overcome this virus! #SGUNITED,positive,worry
Sorry to hear that Singapore has had a setback in defeating the virus. Here in Victoria Australia we are close to eliminating it. Best wishes from Australia to our Singapore friends and I hope you have success in bringing your viruses cases numbers down sharply.,Sorry to hear that Singapore has had a setback in defeating the virus. Here in Victoria Australia we are close to eliminating it. Best wishes from Australia to our Singapore friends and I hope you have success in bringing your viruses cases numbers down sharply.,neutral,worry
"To all cina, next time jangan makan kelawar okay? Orang Islam sudah bagitau halal haram, korang gelak.. sekarang world is boycotting China.. Sohai 👍","To all cina, next time jangan makan kelawar okay? Orang Islam sudah bagitau halal haram, korang gelak.. sekarang world is boycotting China.. Sohai ",negative,neutral
"Kenneth Mak, the question is how's the percentage of asymptomatic cases for now. Th statistics are there. just you don't know. Do your study before press conference","Kenneth Mak, the question is how's the percentage of asymptomatic cases for now. Th statistics are there. just you don't know. Do your study before press conference",neutral,neutral
Hahahah the interviewer at 1:03:20 look so pissed after Mrs Josephine Teo cut her off,Hahahah the interviewer at 1:03:20 look so pissed after Mrs Josephine Teo cut her off,negative,fun
PM Lee is a communist trying to destroy the Singapore economy so he can vaccinate the citizens of Singapore with Bill Gates poison.,PM Lee is a communist trying to destroy the Singapore economy so he can vaccinate the citizens of Singapore with Bill Gates poison.,negative,worry
God bless Singapore ❤️ To everyone in Singapore stay healthy and follow the measures well. Sending love from 🇲🇾,God bless Singapore  To everyone in Singapore stay healthy and follow the measures well. Sending love from ,positive,love
"Sweden Vs COVID-19: Why ""Herd Immunity"" Matters & Why Lockdown Doesn't Really Work\n...with typically Swedish bluntness, Giesecke explains flattening of the curve is due to the most vulnerable dying first as much as lockdown, that Covid-19 is a 'mild disease' similar to the flu, & the Imperial College paper was 'not very good'\nhttps://www.zerohedge.com/health/sweden-vs-covid-19-why-herd-immunity-matters-why-lockdown-doesnt-really-work","Sweden Vs COVID-19: Why ""Herd Immunity"" Matters & Why Lockdown Doesn't Really Work ...with typically Swedish bluntness, Giesecke explains flattening of the curve is due to the most vulnerable dying first as much as lockdown, that Covid-19 is a 'mild disease' similar to the flu, & the Imperial College paper was 'not very good' https://www.zerohedge.com/health/sweden-vs-covid-19-why-herd-immunity-matters-why-lockdown-doesnt-really-work",negative,worry
"Prayers to all patients a speedy recovery. Keep fighting, stay strong and have faith that you will be soon be discharged.🙏","Prayers to all patients a speedy recovery. Keep fighting, stay strong and have faith that you will be soon be discharged.",positive,worry
I hope the government can send health workers to do test for every block of HDB. There’s a lot of asymptomatic carriers out there unknowingly themselves,I hope the government can send health workers to do test for every block of HDB. Theres a lot of asymptomatic carriers out there unknowingly themselves,positive,worry
"A Handful Of Blunt-Headed Refused To Stay Home, Circuit Breaker Extended Until 1st of June .. if those Blunt-Headed continue their bad habits & kept going against CURRENT RULES & REGULATIONS .. Circuit Breaker Will Continue For Another YEAR !!","A Handful Of Blunt-Headed Refused To Stay Home, Circuit Breaker Extended Until 1st of June .. if those Blunt-Headed continue their bad habits & kept going against CURRENT RULES & REGULATIONS .. Circuit Breaker Will Continue For Another YEAR !!",negative,sadness
Thank you for your leadership PM Lee,Thank you for your leadership PM Lee,positive,happiness
Does anyone think that PM Lee looks good with his dark blue collar shirt and tie?,Does anyone think that PM Lee looks good with his dark blue collar shirt and tie?,neutral,neutral
"Mr Lee, can stop the HBL and the school. Its just first day of school and with HBL I can't properly study well and if extend some more I cant study that well online. It's better to study inside scholl face to face with teacher help. So maybe could stop school and HBL so student can be able to study in school then using online platform.","Mr Lee, can stop the HBL and the school. Its just first day of school and with HBL I can't properly study well and if extend some more I cant study that well online. It's better to study inside scholl face to face with teacher help. So maybe could stop school and HBL so student can be able to study in school then using online platform.",neutral,worry
macam open mcdonald,macam open mcdonald,neutral,neutral
God  bless  to singapore & all world  !!!! I love  singapore,God  bless  to singapore & all world  !!!! I love  singapore,positive,love
"#sgunited. Didn't quite expect this, but in my opinion the correct decision. Keep on fighting everyone.","#sgunited. Didn't quite expect this, but in my opinion the correct decision. Keep on fighting everyone.",neutral,worry
"what sg government right or wrong! fast or delayed actions, always so great?🤔","what sg government right or wrong! fast or delayed actions, always so great?",positive,worry
Thank you for the latest update about COVID-19. Best wishes for the recovery against this deadly disease. Majullah Singapura!,Thank you for the latest update about COVID-19. Best wishes for the recovery against this deadly disease. Majullah Singapura!,positive,happiness
only exercise in your own neighbourhood! Some of this idiots still come to parks like singapore botanical gardens to jog! Don’t know how to listen to simple instructions! Please do something about it,only exercise in your own neighbourhood! Some of this idiots still come to parks like singapore botanical gardens to jog! Dont know how to listen to simple instructions! Please do something about it,neutral,worry
"Sg stay strong those who are suffering my heart goes out to y'all, thank you to those who are staying at home and abiding. Think about it the more we abide the faster this ends and also the less fatalities there will be. I really hope we can see through this period of suffering. stay home and stay strong. prevention is better then cure. Lastly thank you those in our front line, keep up the good work guys. Jia you","Sg stay strong those who are suffering my heart goes out to y'all, thank you to those who are staying at home and abiding. Think about it the more we abide the faster this ends and also the less fatalities there will be. I really hope we can see through this period of suffering. stay home and stay strong. prevention is better then cure. Lastly thank you those in our front line, keep up the good work guys. Jia you",neutral,worry
Stay strong #Singapore,Stay strong #Singapore,neutral,neutral
"Action not properly taken when case 42, a FW got the covid 19. Now how many thousands case of FW now.  Sad.","Action not properly taken when case 42, a FW got the covid 19. Now how many thousands case of FW now.  Sad.",negative,sadness
"We are all disappointed and looking forward to returning to our normal lives. However, we all know that it is better to suffer for another four weeks, then risk an explosion in the number of cases. Let us not forget that although the young and healthy are at lower risk, that does not mean that they cannot transmit the virus. I’m certain that none of you want to be directly or indirectly responsible for affecting the health of vulnerable people. Instead, let us not focus on our own minor suffering, but instead, do our best to help our fellow Singaporeans any way we can. Every small bit helps. Can we help our elderly neighbour buy food or essentials? Can we volunteer to help our frontline workers in healthcare? As a great man once said, ask not what your country can do for you; ask what you can do for your country.","We are all disappointed and looking forward to returning to our normal lives. However, we all know that it is better to suffer for another four weeks, then risk an explosion in the number of cases. Let us not forget that although the young and healthy are at lower risk, that does not mean that they cannot transmit the virus. Im certain that none of you want to be directly or indirectly responsible for affecting the health of vulnerable people. Instead, let us not focus on our own minor suffering, but instead, do our best to help our fellow Singaporeans any way we can. Every small bit helps. Can we help our elderly neighbour buy food or essentials? Can we volunteer to help our frontline workers in healthcare? As a great man once said, ask not what your country can do for you; ask what you can do for your country.",neutral,worry
Let's do take care for good life and praying for Corona go 🙏,Let's do take care for good life and praying for Corona go ,positive,neutral
"Singaporean are always complaining why government not doing this not doing that. Government need to look things in a big picture and need expertise point of views and things we may not able to think of. However, we should think of how much we can do to help Singapore. Before the circuitbreaker start, i have already stop going to my grandmother even though is a routine for us to go every week or meeting my friend because I know that  to protect our love ones. I have to sacrificed somethings. At right now, we shld try our best to think in what ways we can help. For example, stay at home, minimise the exposure of going out, wear mask, going places in your community and download TraceTogether (help family members who need helps). Right now, we MUST stay united. Nothing works if is only one-sided action.","Singaporean are always complaining why government not doing this not doing that. Government need to look things in a big picture and need expertise point of views and things we may not able to think of. However, we should think of how much we can do to help Singapore. Before the circuitbreaker start, i have already stop going to my grandmother even though is a routine for us to go every week or meeting my friend because I know that  to protect our love ones. I have to sacrificed somethings. At right now, we shld try our best to think in what ways we can help. For example, stay at home, minimise the exposure of going out, wear mask, going places in your community and download TraceTogether (help family members who need helps). Right now, we MUST stay united. Nothing works if is only one-sided action.",neutral,worry
"Say I go out alone to buy groceries, I get infected. Won't I still put my family at risk when I return home?","Say I go out alone to buy groceries, I get infected. Won't I still put my family at risk when I return home?",negative,worry
P6's at the start of this year : Shoot got PSLE. Things can't get worse. \n\nCovid-19: I'm about to end this whole man's career,P6's at the start of this year : Shoot got PSLE. Things can't get worse.   Covid-19: I'm about to end this whole man's career,negative,sadness
It's Singapore's turn to be held ransom by China.,It's Singapore's turn to be held ransom by China.,negative,worry
good.,good.,positive,neutral
#StayAtHome #sgunited\n\nAll the way Singapore,#StayAtHome #sgunited  All the way Singapore,neutral,neutral
We are overcome together InSyaAllah.🤲🤲,We are overcome together InSyaAllah.,neutral,relief
A crook family with overpaid wife..so dumb singaporeans and circuit fast transmission instead haha.bunch of losers..blahblah,A crook family with overpaid wife..so dumb singaporeans and circuit fast transmission instead haha.bunch of losers..blahblah,negative,sadness
Great speech 👌🏻,Great speech ,positive,happiness
Wah.... straight away 4 weeks extend,Wah.... straight away 4 weeks extend,neutral,neutral
I love Singapore!!! Stay Strong👍🏽👍🏽👍🏽,I love Singapore!!! Stay Strong,positive,love
DMS coughing alot,DMS coughing alot,negative,worry
Singaporeans please stay home and stay safe🙏❤️,Singaporeans please stay home and stay safe,positive,neutral
You're the best..hope all the world can real heal soon..😇 God Bless us,You're the best..hope all the world can real heal soon.. God Bless us,positive,love
Hope the government define essential services clearly ; many companies are still operating under the guise of being essential and still not letting staff work from home when they could.,Hope the government define essential services clearly ; many companies are still operating under the guise of being essential and still not letting staff work from home when they could.,positive,worry
Ho ching heeheehee too much,Ho ching heeheehee too much,negative,worry
What happened to the gold standard? Still circuit breaker? It should already be a lockdown..,What happened to the gold standard? Still circuit breaker? It should already be a lockdown..,neutral,worry
"Dear mr Lee, please find the murderer who make us suffering and they need to pay for it....","Dear mr Lee, please find the murderer who make us suffering and they need to pay for it....",negative,worry
"There are still lots of people doing outdoor exercise without wearing mask, is it because they cannot get infected and will not infect others???    Can the virus be seen, or be detected???","There are still lots of people doing outdoor exercise without wearing mask, is it because they cannot get infected and will not infect others???    Can the virus be seen, or be detected???",neutral,worry
WHY WOULD YOU PUT SPOILERS IN THE TITLE,WHY WOULD YOU PUT SPOILERS IN THE TITLE,negative,sadness
Thank you PM lee for your very best efforts and swift decisions! Singaporeans support you. We are doing a very good job on the world scale.,Thank you PM lee for your very best efforts and swift decisions! Singaporeans support you. We are doing a very good job on the world scale.,positive,happiness
Bahasa Melayu PM Singapura lagi bagus dari pada Anjing MCA Wee Ka Siong yang hanya pandai jilat buntut Umnopas sahaja.,Bahasa Melayu PM Singapura lagi bagus dari pada Anjing MCA Wee Ka Siong yang hanya pandai jilat buntut Umnopas sahaja.,neutral,neutral
U are great leader whole world.i respect u very much..I'm bangadeshi worker,U are great leader whole world.i respect u very much..I'm bangadeshi worker,positive,love
"Estamos com um projeto de extensão para informar a população sobre os seus direitos nessa pandemia e como se previnir contra a covid-19, para se informar siga nosso perfil no Instagram e ficar preparado nessa pandemia.\nhttps://www.instagram.com/cdc_contraocovid/?hl=pt-br","Estamos com um projeto de extenso para informar a populao sobre os seus direitos nessa pandemia e como se previnir contra a covid-19, para se informar siga nosso perfil no Instagram e ficar preparado nessa pandemia. https://www.instagram.com/cdc_contraocovid/?hl=pt-br",neutral,neutral
Our great dear leader PM lee really made a good decision - he is protecting us from this terrible virus. The economy will bounce back and skyrocket once we're over this mess.,Our great dear leader PM lee really made a good decision - he is protecting us from this terrible virus. The economy will bounce back and skyrocket once we're over this mess.,neutral,worry
"Walau eh! Just say DORSCON Red la! This cannot do,that cannot do,like a lockdown already!","Walau eh! Just say DORSCON Red la! This cannot do,that cannot do,like a lockdown already!",negative,worry
Wait what about mtl o-levels? Will it continue or will it be postponed?,Wait what about mtl o-levels? Will it continue or will it be postponed?,neutral,worry
negativity does nothing. the old and young need you to be strong. Try to see the good in this.,negativity does nothing. the old and young need you to be strong. Try to see the good in this.,positive,worry
18:48 中文发表,18:48 ,neutral,neutral
Nooo no school another month I want to go to school I miss my friends please reduce the days of circuit breaker please I really want to go to school and learn there please 🥺🥺🥺,Nooo no school another month I want to go to school I miss my friends please reduce the days of circuit breaker please I really want to go to school and learn there please ,negative,worry
How come he never change to other language when taking a sip on his 1st cup?,How come he never change to other language when taking a sip on his 1st cup?,neutral,neutral
Tanks  .. a lot,Tanks  .. a lot,neutral,neutral
PM plz help to all cos now some as singaporean foreigners also jobless and also they can’t fly back from sg,PM plz help to all cos now some as singaporean foreigners also jobless and also they cant fly back from sg,neutral,worry
Why why why😢,Why why why,neutral,sadness
Hatsoff Mr.Lee PM....Social Distancing.........,Hatsoff Mr.Lee PM....Social Distancing.........,neutral,neutral
1. Have to spread out the fw. As you are speaking the virus is spreading amongst them.  They are like on a cruise ship\n\n2.  Can we use the empty hotels to house them.\n\n3.  After bringing down the number (the mom should have the numbers) of fw in the dorm. Make it madatory for the other fw stay in hbs and private housing to go into the dorm.,1. Have to spread out the fw. As you are speaking the virus is spreading amongst them.  They are like on a cruise ship  2.  Can we use the empty hotels to house them.  3.  After bringing down the number (the mom should have the numbers) of fw in the dorm. Make it madatory for the other fw stay in hbs and private housing to go into the dorm.,negative,worry
Already tolerate 2 week circuit breaker in the still have to extend 4 week🤨,Already tolerate 2 week circuit breaker in the still have to extend 4 week,negative,worry
"0.12% death rate only, open up the country already. Ask old people to stay at home only la, young people won't die from Wuhan virus one...","0.12% death rate only, open up the country already. Ask old people to stay at home only la, young people won't die from Wuhan virus one...",neutral,worry
Hypocritical talk. They dont really care about migrant workers because migrant workers do not have voting rights,Hypocritical talk. They dont really care about migrant workers because migrant workers do not have voting rights,negative,worry
1:03:02  THANK YOU CHERYL! MAJULAH MACDONALS,1:03:02  THANK YOU CHERYL! MAJULAH MACDONALS,positive,happiness
Take care Mr Lee,Take care Mr Lee,neutral,neutral
I strongly agree.\n👍👍👍😷\nSingapore government has done and is doing their part.\nWe the people here also do our part. \nI trust you singapore government task force.\nI will give support and hopefully we all can cooperate and give support.,I strongly agree.  Singapore government has done and is doing their part. We the people here also do our part.  I trust you singapore government task force. I will give support and hopefully we all can cooperate and give support.,positive,relief
"PLEASE DO MANDATORY NATIONWIDE TESTING. we cannot safely reopen the country unless this is done. World Health Organisation says so. US medical experts say so. It makes sense. please don't ask us to continue ""hunkering down"" if the shutdown time is going to be wasted by NOT doing nationwide testing. as long as we don't know who is infected and who is not, who needs to be kept out of circulation and who does not, we cannot safely reopen the country.","PLEASE DO MANDATORY NATIONWIDE TESTING. we cannot safely reopen the country unless this is done. World Health Organisation says so. US medical experts say so. It makes sense. please don't ask us to continue ""hunkering down"" if the shutdown time is going to be wasted by NOT doing nationwide testing. as long as we don't know who is infected and who is not, who needs to be kept out of circulation and who does not, we cannot safely reopen the country.",neutral,worry
